title,company_name,url,remote,first_seen_at,last_seen_at,lang,juniority_score,source,external_ids_0,external_ids_1,external_ids_2,external_ids_3,external_ids_4,external_ids_5,external_ids_6,external_ids_7,external_ids_8,external_ids_9,locations_0_name,locations_1_name,locations_2_name,locations_3_name,locations_4_name,locations_5_name,locations_6_name,locations_7_name,locations_8_name,locations_9_name,locations_10_name,locations_11_name,locations_12_name,locations_13_name,locations_14_name,locations_15_name,locations_16_name,locations_17_name,locations_18_name,locations_19_name,locations_0_region,locations_1_region,locations_2_region,locations_3_region,locations_4_region,locations_5_region,locations_6_region,locations_7_region,locations_8_region,locations_9_region,locations_10_region,locations_11_region,locations_12_region,locations_13_region,locations_14_region,locations_15_region,locations_16_region,locations_17_region,locations_18_region,locations_19_region,employment_types_0,employment_types_1,employment_types_2,employment_types_3,employment_types_4,employment_types_5,employment_types_6,employment_types_7,employment_types_8,employment_types_9
Tester řídících systémů,HOFMANN WIZARD s.r.o.,https://cz.linkedin.com/jobs/view/tester-%C5%99%C3%ADd%C3%ADc%C3%ADch-syst%C3%A9m%C5%AF-at-hofmann-wizard-s-r-o-3768558287,False,2023-11-26 00:00:00,,cs,,,linkedin#3768558287,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
GRAFIK,Yottabe s.r.o.,https://www.startupjobs.cz/nabidka/70597/grafik?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,True,2023-11-24 00:00:00,,cs,,,startupjobs#70597,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Tester řídících systémů / Praha,Kariéra s.r.o.,https://cz.linkedin.com/jobs/view/tester-%C5%99%C3%ADd%C3%ADc%C3%ADch-syst%C3%A9m%C5%AF-praha-at-kari%C3%A9ra-s-r-o-3772806996,False,2023-11-24 00:00:00,,cs,,,linkedin#3772806996,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
QA Engineer pro Cloud Security tým,Safetica,https://www.startupjobs.cz/nabidka/70431/qa-engineer-pro-cloud-security-tym?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-22 00:00:00,,cs,,,startupjobs#70431,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior QA Inženýr (plný/zkrácený úvazek),Veeam Software,https://cz.linkedin.com/jobs/view/junior-qa-in%C5%BEen%C3%BDr-pln%C3%BD-zkr%C3%A1cen%C3%BD-%C3%BAvazek-at-veeam-software-3766027160,False,2023-11-22 00:00:00,,cs,,,linkedin#3766027160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
VÝVOJÁŘ/KA .NET (JUNIOR/MEDIOR/FULLSTACK/TOP PRODUKT PRO SOCIÁLNÍ SLUŽBY),"IReSoft, s.r.o.",https://cz.linkedin.com/jobs/view/v%C3%BDvoj%C3%A1%C5%99-ka-net-junior-medior-fullstack-top-produkt-pro-soci%C3%A1ln%C3%AD-slu%C5%BEby-at-iresoft-s-r-o-3766006705,False,2023-11-22 00:00:00,,cs,,,linkedin#3766006705,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Software Engineer/ka in QA - Ostrava,profiq,https://cz.linkedin.com/jobs/view/junior-software-engineer-ka-in-qa-ostrava-at-profiq-3770796787,False,2023-11-21 00:00:00,,cs,,,linkedin#3770796787,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,Ostrava,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior financial consultant,Neit Consulting s. r. o.,https://www.startupjobs.cz/nabidka/70319/junior-financial-consultant?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-20 00:00:00,,cs,,,startupjobs#70319,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Databázový administrátor junior,Neit Consulting s. r. o.,https://www.startupjobs.cz/nabidka/70309/databazovy-administrator-junior?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-20 00:00:00,,cs,,,startupjobs#70309,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior PHP Developer,CoolPeople,https://cz.linkedin.com/jobs/view/junior-php-developer-at-coolpeople-3766540536,False,2023-11-17 00:00:00,,cs,,,linkedin#3766540536,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Linux and Infrastructure Specialist,Datera s.r.o.,https://www.startupjobs.cz/nabidka/70141/junior-linux-and-infrastructure-specialist?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-14 00:00:00,,cs,,,startupjobs#70141,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
Junior / medior PHP programátor pro e-shopy,w3w,https://junior.guru/jobs/6b2b51a02c2e30a4facc9c0c93f7924695c7c67091c0e45f63694f68/,True,2023-11-14 00:00:00,,cs,,,juniorguru#6b2b51a02c2e30a4facc9c0c93f7924695c7c67091c0e45f63694f68,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
Junior / medior PHP programátor pro e-shopy,"w3w, s.r.o.",https://www.startupjobs.cz/nabidka/70019/junior-medior-php-programator-pro-e-shopy?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,True,2023-11-13 00:00:00,,cs,,,startupjobs#70019,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
Junior Full Stack Developer (s React zkušeností),ameba.eu,https://cz.linkedin.com/jobs/view/junior-full-stack-developer-s-react-zku%C5%A1enost%C3%AD-at-ameba-eu-3765385921,False,2023-11-13 00:00:00,,cs,,,linkedin#3765385921,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
